date,ticker,qty,order
2005-01-03,SPY,3541,BUY
2005-01-03,IWM,2160,BUY
2005-01-03,XLE,1412,BUY
2005-01-03,XLU,2511,BUY
2005-01-03,XLK,2483,BUY
2005-01-03,XLB,2121,BUY
2005-01-03,XLP,1519,BUY
2005-01-03,XLY,2719,BUY
2005-01-03,XLI,3074,BUY
2005-01-03,XLV,153,BUY
2005-01-03,XLF,2638,BUY
2005-01-03,SHY,2359,BUY
2005-01-03,TLT,2081,BUY
2005-01-10,SPY,267,SELL
2005-01-10,IWM,453,SELL
2005-01-10,XLE,14,SELL
2005-01-10,XLU,92,SELL
2005-01-10,XLK,47,SELL
2005-01-10,XLB,196,SELL
2005-01-10,XLP,278,BUY
2005-01-10,XLY,179,BUY
2005-01-10,XLI,69,SELL
2005-01-10,XLV,306,BUY
2005-01-10,XLF,336,BUY
2005-01-10,SHY,468,BUY
2005-01-10,TLT,506,BUY
2005-01-17,SPY,219,SELL
2005-01-17,IWM,18,BUY
2005-01-17,XLE,17,SELL
2005-01-17,XLU,164,BUY
2005-01-17,XLK,32,SELL
2005-01-17,XLB,6,BUY
2005-01-17,XLP,6,SELL
2005-01-17,XLY,312,SELL
2005-01-17,XLI,156,SELL
2005-01-17,XLV,195,BUY
2005-01-17,XLF,20,SELL
2005-01-17,SHY,104,BUY
2005-01-17,TLT,271,BUY
2005-01-24,SPY,359,SELL
2005-01-24,IWM,73,BUY
2005-01-24,XLE,200,BUY
2005-01-24,XLU,220,BUY
2005-01-24,XLK,485,SELL
2005-01-24,XLB,268,BUY
2005-01-24,XLP,95,SELL
2005-01-24,XLY,509,SELL
2005-01-24,XLI,42,BUY
2005-01-24,XLV,200,BUY
2005-01-24,XLF,733,SELL
2005-01-24,SHY,168,BUY
2005-01-24,TLT,796,BUY
2005-01-31,SPY,403,BUY
2005-01-31,IWM,74,BUY
2005-01-31,XLE,65,BUY
2005-01-31,XLU,296,SELL
2005-01-31,XLK,10,BUY
2005-01-31,XLB,75,SELL
2005-01-31,XLP,113,BUY
2005-01-31,XLY,131,BUY
2005-01-31,XLI,48,SELL
2005-01-31,XLV,6,BUY
2005-01-31,XLF,190,BUY
2005-01-31,SHY,228,SELL
2005-01-31,TLT,611,SELL
2005-02-07,SPY,135,SELL
2005-02-07,IWM,64,BUY
2005-02-07,XLE,181,BUY
2005-02-07,XLU,304,BUY
2005-02-07,XLK,212,SELL
2005-02-07,XLB,191,SELL
2005-02-07,XLP,410,BUY
2005-02-07,XLY,15,BUY
2005-02-07,XLI,161,SELL
2005-02-07,XLV,150,BUY
2005-02-07,XLF,475,SELL
2005-02-07,SHY,187,SELL
2005-02-07,TLT,41,SELL
2005-02-14,SPY,210,BUY
2005-02-14,IWM,208,SELL
2005-02-14,XLE,70,SELL
2005-02-14,XLU,434,BUY
2005-02-14,XLK,20,SELL
2005-02-14,XLB,42,SELL
2005-02-14,XLP,130,BUY
2005-02-14,XLY,211,BUY
2005-02-14,XLI,113,BUY
2005-02-14,XLV,270,BUY
2005-02-14,XLF,290,BUY
2005-02-14,SHY,404,SELL
2005-02-14,TLT,219,SELL
2005-02-21,SPY,276,BUY
2005-02-21,IWM,338,BUY
2005-02-21,XLE,249,SELL
2005-02-21,XLU,256,SELL
2005-02-21,XLK,36,BUY
2005-02-21,XLB,213,BUY
2005-02-21,XLP,523,BUY
2005-02-21,XLY,281,BUY
2005-02-21,XLI,260,BUY
2005-02-21,XLV,199,BUY
2005-02-21,XLF,284,SELL
2005-02-21,SHY,942,SELL
2005-02-21,TLT,86,BUY
2005-02-28,SPY,289,SELL
2005-02-28,IWM,16,BUY
2005-02-28,XLE,338,BUY
2005-02-28,XLU,760,SELL
2005-02-28,XLK,418,BUY
2005-02-28,XLB,65,BUY
2005-02-28,XLP,29,SELL
2005-02-28,XLY,166,SELL
2005-02-28,XLI,328,SELL
2005-02-28,XLV,429,BUY
2005-02-28,XLF,117,SELL
2005-02-28,SHY,621,SELL
2005-02-28,TLT,1028,BUY
2005-03-07,SPY,166,BUY
2005-03-07,IWM,337,BUY
2005-03-07,XLE,46,BUY
2005-03-07,XLU,257,BUY
2005-03-07,XLK,9,SELL
2005-03-07,XLB,345,SELL
2005-03-07,XLP,398,BUY
2005-03-07,XLY,126,BUY
2005-03-07,XLI,243,BUY
2005-03-07,XLV,199,BUY
2005-03-07,XLF,210,SELL
2005-03-07,SHY,717,SELL
2005-03-07,TLT,220,SELL
2005-03-14,SPY,113,BUY
2005-03-14,IWM,257,BUY
2005-03-14,XLE,62,BUY
2005-03-14,XLU,8,SELL
2005-03-14,XLK,126,SELL
2005-03-14,XLB,187,BUY
2005-03-14,XLP,92,BUY
2005-03-14,XLY,210,BUY
2005-03-14,XLI,357,BUY
2005-03-14,XLV,408,BUY
2005-03-14,XLF,139,SELL
2005-03-14,TLT,529,SELL
2005-03-21,SPY,12,BUY
2005-03-21,IWM,187,BUY
2005-03-21,XLE,92,SELL
2005-03-21,XLU,17,BUY
2005-03-21,XLK,181,SELL
2005-03-21,XLB,126,SELL
2005-03-21,XLP,139,BUY
2005-03-21,XLY,182,BUY
2005-03-21,XLI,11,SELL
2005-03-21,XLV,2,SELL
2005-03-21,XLF,341,SELL
2005-03-21,TLT,73,BUY
2005-03-28,SPY,169,BUY
2005-03-28,IWM,129,BUY
2005-03-28,XLE,28,SELL
2005-03-28,XLU,243,SELL
2005-03-28,XLK,182,SELL
2005-03-28,XLB,204,BUY
2005-03-28,XLP,376,SELL
2005-03-28,XLY,137,SELL
2005-03-28,XLI,183,BUY
2005-03-28,XLV,18,BUY
2005-03-28,XLF,706,SELL
2005-03-28,TLT,189,BUY
2005-04-04,SPY,138,BUY
2005-04-04,IWM,131,SELL
2005-04-04,XLE,316,BUY
2005-04-04,XLU,380,BUY
2005-04-04,XLK,306,SELL
2005-04-04,XLB,35,SELL
2005-04-04,XLP,665,SELL
2005-04-04,XLY,921,SELL
2005-04-04,XLI,616,SELL
2005-04-04,XLV,86,SELL
2005-04-04,XLF,429,SELL
2005-04-04,TLT,748,BUY
2005-04-11,SPY,25,SELL
2005-04-11,IWM,161,SELL
2005-04-11,XLE,10,SELL
2005-04-11,XLU,346,BUY
2005-04-11,XLK,198,SELL
2005-04-11,XLP,302,SELL
2005-04-11,XLY,179,SELL
2005-04-11,XLI,216,BUY
2005-04-11,XLV,317,SELL
2005-04-11,TLT,361,BUY
2005-04-18,SPY,23,BUY
2005-04-18,IWM,303,SELL
2005-04-18,XLE,498,BUY
2005-04-18,XLU,279,BUY
2005-04-18,XLK,521,SELL
2005-04-18,XLB,126,SELL
2005-04-18,XLP,241,BUY
2005-04-18,XLY,711,SELL
2005-04-18,XLI,117,SELL
2005-04-18,XLV,1068,BUY
2005-04-18,TLT,445,BUY
2005-04-25,SPY,219,SELL
2005-04-25,IWM,312,SELL
2005-04-25,XLE,522,BUY
2005-04-25,XLU,827,BUY
2005-04-25,XLK,310,SELL
2005-04-25,XLB,34,BUY
